emotion,gender,block,picture,duration,mask
neutral,M,4,23M_NE_C.png,0.034,mask_41M_SA_O.png
neutral,M,4,37M_NE_C.png,0.034,mask_23M_HA_C.png
neutral,M,4,30M_NE_C.png,0.034,mask_10F_CA_O.png
neutral,M,4,24M_NE_C.png,0.034,mask_13F_FE_O.png
neutral,M,4,29M_NE_C.png,0.034,mask_21M_SP_O.png
neutral,M,4,36M_NE_C.png,0.034,mask_22M_AN_C.png
neutral,M,4,22M_NE_C.png,0.034,mask_27M_SA_C.png
neutral,M,4,27M_NE_C.png,0.034,mask_34M_CA_C.png
neutral,M,4,33M_NE_C.png,0.034,mask_07F_HA_O.png
neutral,M,4,21M_NE_C.png,0.034,mask_07F_HA_X.png
neutral,M,4,31M_NE_C.png,0.050,mask_37M_FE_C.png
neutral,M,4,28M_NE_C.png,0.050,mask_42M_NE_O.png
neutral,M,4,23M_NE_C.png,0.050,mask_08F_NE_C.png
neutral,M,4,37M_NE_C.png,0.050,mask_33M_SA_C.png
neutral,M,4,30M_NE_C.png,0.050,mask_36M_AN_C.png
neutral,M,4,24M_NE_C.png,0.050,mask_14F_NE_O.png
neutral,M,4,29M_NE_C.png,0.050,mask_35M_SP_O.png
neutral,M,4,36M_NE_C.png,0.050,mask_10F_DI_O.png
neutral,M,4,22M_NE_C.png,0.050,mask_07F_FE_O.png
neutral,M,4,27M_NE_C.png,0.050,mask_37M_HA_C.png
neutral,M,4,33M_NE_C.png,0.050,mask_41M_SA_O.png
neutral,M,4,21M_NE_C.png,0.050,mask_23M_HA_C.png
